ID,Nume,Concurs,Profesor,grupa,dificultate,URL
49,cod5,OJI 2007,Prof. Adriana Simulescu,2,1,http://campion.edu.ro/arhiva/index.php?page=problem&action=view&id=838,
50,marcare,Şansa de a deveni campion 2002,Prof. Marinel Şerban,1,1,http://campion.edu.ro/arhiva/index.php?page=problem&action=view&id=656,
51,ceas2,OJI 2007,Prof. Marinel Şerban,2,1,http://campion.edu.ro/arhiva/index.php?page=problem&action=view&id=833,
52,set,.campion 2005,Prof. George Vlad,1,1,http://campion.edu.ro/arhiva/index.php?page=problem&action=view&id=438,
53,baschet,ONI 2005,Dana Vlădoiu,1,1,http://campion.edu.ro/arhiva/index.php?page=problem&action=view&id=640,
54,numar2,Şansa de a deveni campion 2002,Prof. Doru Popescu Anastasiu,1,1,http://campion.edu.ro/arhiva/index.php?page=problem&action=view&id=676,
55,romane,.campion 2003,Prof. Marinel Şerban,1,1,http://campion.edu.ro/arhiva/index.php?page=problem&action=view&id=577,
56,suma,.campion 2006,Prof. Alin Burţa,1,1,http://campion.edu.ro/arhiva/index.php?page=problem&action=view&id=282,
57,sir4,OJI 2005,Prof. Dan Grigoriu,1,1,http://campion.edu.ro/arhiva/index.php?page=problem&action=view&id=786,
58,figura,ONIG 2010,Prof. Emanuela Cerchez,1,1,http://campion.edu.ro/arhiva/index.php?page=problem&action=view&id=1035,
59,comp,OJI 2011,Prof. Alin Burţa,1,1,http://campion.edu.ro/arhiva/index.php?page=problem&action=view&id=1241,
60,taste,ONI 2009,Prof. Dana Lica,1,1,http://campion.edu.ro/arhiva/index.php?page=problem&action=view&id=172,
61,cifre3,OJI 2004,Prof. Doru Popescu Anastasiu,1,1,http://campion.edu.ro/arhiva/index.php?page=problem&action=view&id=879,
62,h,.campion 2007,Prof. Doru Popescu Anastasiu,1,1,http://campion.edu.ro/arhiva/index.php?page=problem&action=view&id=182,
63,porumb,.campion 2010,Prof. Sergiu Corlat,1,1,http://campion.edu.ro/arhiva/index.php?page=problem&action=view&id=1164,
64,asmax,Şansa de a deveni campion 2002,Mugurel Ionuţ Andreica,3,1,http://campion.edu.ro/arhiva/index.php?page=problem&action=view&id=671,
65,petrol,OMI Iaşi 2009,Prof. Emanuela Cerchez,1,1,http://campion.edu.ro/arhiva/index.php?page=problem&action=view&id=141,
66,mere,Finala .campion 2009,Prof. Sergiu Corlat,3,1,http://campion.edu.ro/arhiva/index.php?page=problem&action=view&id=113,
67,furnica,OJI 2007,Prof. Doru Popescu Anastasiu,1,1,http://campion.edu.ro/arhiva/index.php?page=problem&action=view&id=841,
68,muzeu,.campion 2009,Prof. Emanuela Cerchez,1,1,http://campion.edu.ro/arhiva/index.php?page=problem&action=view&id=962,
69,noroc,.campion 2008,Prof. Doru Popescu Anastasiu,1,1,http://campion.edu.ro/arhiva/index.php?page=problem&action=view&id=61,
70,numar1,ONI 2005,Prof. Roxana Tîmplaru,1,1,http://campion.edu.ro/arhiva/index.php?page=problem&action=view&id=643,
71,morse,ONI 2006,Dana Vlădoiu,1,1,http://campion.edu.ro/arhiva/index.php?page=problem&action=view&id=781,
72,visul,OJI 2003,,2,1,http://campion.edu.ro/arhiva/index.php?page=problem&action=view&id=913,
73,felinare,ONI 2008,Prof. Marinel Şerban,1,1,http://campion.edu.ro/arhiva/index.php?page=problem&action=view&id=409,
74,prieteni2,ONI 2006,Prof. Roxana Tîmplaru,2,1,http://campion.edu.ro/arhiva/index.php?page=problem&action=view&id=763,
75,balcon,OMI Iaşi 2010,Prof. Gabriela Conea,1,1,http://campion.edu.ro/arhiva/index.php?page=problem&action=view&id=990,
76,ron,OJI 2004,Prof. Paula Copăcel,2,1,http://campion.edu.ro/arhiva/index.php?page=problem&action=view&id=899,
77,grupe,.campion 2007,Prof. Marinel Şerban,1,1,http://campion.edu.ro/arhiva/index.php?page=problem&action=view&id=161,
78,elfi,OJI 2006,Prof. Rodica Pintea,1,1,http://campion.edu.ro/arhiva/index.php?page=problem&action=view&id=822,
79,alfabetar,OMI Iaşi 2011,Prof. Gabriela Conea,1,1,http://campion.edu.ro/arhiva/index.php?page=problem&action=view&id=1200,
80,rj,OJI 2004,Prof. Emanuela Cerchez,2,1,http://campion.edu.ro/arhiva/index.php?page=problem&action=view&id=898,
